cell,celliso,iso,lon,lat,lpj
GLO.144,ESH.144,ESH,-14.25,26.25,23813
GLO.145,GIN.145,GIN,-13.75,9.75,23822
GLO.146,GIN.146,GIN,-13.75,10.25,23823
GLO.147,GIN.147,GIN,-13.75,10.75,23824
GLO.148,GIN.148,GIN,-13.75,11.25,23825
GLO.149,GIN.149,GIN,-13.75,11.75,23826
GLO.150,GIN.150,GIN,-13.75,12.25,23827
GLO.151,SEN.151,SEN,-13.75,12.75,23828
GLO.152,SEN.152,SEN,-13.75,13.25,23829
GLO.153,SEN.153,SEN,-13.75,13.75,23830
